catchment_id,du,x,y,sourceName,identifier,comid
cat-2506062,d,-101.57921252005735,30.25851558298754,NHDPlus comid,3217582,3217582
cat-2506049,u,-101.4799674302228,30.439589337580525,NHDPlus comid,3217544,3217544
cat-111162,d,-78.88218183623688,37.88994346912299,NHDPlus comid,8544701,8544701
cat-111112,u,-78.84077899191927,38.01788842576652,NHDPlus comid,8543813,8543813
cat-85911,d,-77.93170077997874,40.41842696226418,NHDPlus comid,4700151,4700151
cat-85909,u,-77.97977227120117,40.47004348698589,NHDPlus comid,4683466,4683466
cat-473332,d,-85.3261625926313,31.114906846404512,NHDPlus comid,2130856,2130856
cat-473336,u,-85.3328613492771,31.084026084194143,NHDPlus comid,2130916,2130916
cat-1548593,d,-95.67919607379972,39.92941077244511,NHDPlus comid,19153689,19153689
cat-1548597,u,-95.68634807564231,39.91578459358063,NHDPlus comid,19153755,19153755
cat-2519803,d,-106.47512686863146,37.395239432087976,NHDPlus comid,17897739,17897739
cat-2519808,u,-106.5946873558897,37.430900835638006,NHDPlus comid,17897571,17897571
cat-2138525,d,-100.28171065566804,33.91609437904253,NHDPlus comid,13525176,13525176
cat-2138534,u,-100.37366689790728,33.96866200441955,NHDPlus comid,13525120,13525120
cat-3314690,d,-120.4332384551589,34.7822777675204,NHDPlus comid,17620014,17620014
cat-3314700,u,-120.15223604171985,34.75623071045341,NHDPlus comid,17620584,17620584
cat-1079105,d,-93.85034844267597,41.96915925314497,NHDPlus comid,6596888,6596888
cat-1079107,u,-93.8292148294972,41.95664026719094,NHDPlus comid,6596904,6596904
cat-89485,d,-76.94400756292076,41.28418118181855,NHDPlus comid,8151373,8151373
cat-89494,u,-76.90082374311734,41.38665050770236,NHDPlus comid,8150991,8150991
cat-3050193,d,-121.412941559972,47.603364839918086,NHDPlus comid,23964595,23964595
cat-3049938,u,-121.3581133325444,47.591303375456576,NHDPlus comid,23963197,23963197
cat-2516998,d,-107.68180748587432,35.39113611845282,NHDPlus comid,17791109,17791109
cat-2516990,u,-107.57308546976935,35.27356997778062,NHDPlus comid,17791153,17791153
cat-797942,d,-79.27358023105658,39.94065743406384,NHDPlus comid,3807189,3807189
